date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-03-17,AC,3,409762,0.0,,,
2020-03-18,AC,3,409762,0.8446613902733523,,,
2020-03-19,AC,4,409762,1.6699940311990782,,,
2020-03-20,AC,7,409762,2.522711977797453,,,
2020-03-21,AC,11,409762,3.429777050913713,,,
2020-03-22,AC,11,409762,4.4110445692797615,,,
2020-03-23,AC,17,409762,5.481472332975061,,,
2020-03-24,AC,21,409762,6.6542512529058495,,,
2020-03-25,AC,23,409762,7.943156867572665,,,
2020-03-26,AC,23,409762,9.359352572354176,,,
2020-03-27,AC,25,409762,10.919576372338533,,,
2020-03-28,AC,25,409762,12.633918494319222,,,
2020-03-29,AC,31,409762,14.521993002086846,,,
2020-03-30,AC,34,409762,16.601630832886187,,,
2020-03-31,AC,34,409762,18.8912137814052,,,
2020-04-01,AC,34,409762,21.412468368168952,,,
2020-04-02,AC,36,409762,24.187989304392953,,,
2020-04-03,AC,36,409762,27.244431192025967,,,
2020-04-04,AC,36,409762,30.609738470953268,,,
2020-04-05,AC,38,409762,34.31580252269013,,,
2020-04-06,AC,39,409762,38.39702148573495,,,
2020-04-07,AC,39,409762,42.89191269514698,,,
2020-04-08,AC,45,409762,47.839787310184896,,,
2020-04-09,AC,48,409762,53.28796662465191,,,
2020-04-10,AC,55,409762,59.285998345975855,,,
2020-04-11,AC,57,409762,65.89002402353739,,,
2020-04-12,AC,60,409762,73.16161073960598,,,
2020-04-13,AC,68,409762,81.16842499025547,,,
2020-04-14,AC,74,409762,89.98495505466171,,,
2020-04-15,AC,76,409762,99.6929859658385,,,
2020-04-16,AC,86,409762,110.38133603129171,,,
2020-04-17,AC,105,409762,122.14936896939213,894470.0,3.6547568308077802,2.4895302487389026
2020-04-18,AC,112,409762,135.09715686117298,894470.0,3.19342440506158,2.488168078176689
2020-04-19,AC,123,409762,149.36651755544904,894470.0,2.7760098939439017,2.4873494393828857
2020-04-20,AC,136,409762,165.0686851479889,894470.0,2.9471390904460635,2.4868344157750717
2020-04-21,AC,154,409762,182.3530653263004,894470.0,2.325409447363304,2.486357471897898
2020-04-22,AC,172,409762,201.3802422326781,894470.0,1.88258248935482,2.485961301664525
2020-04-23,AC,185,409762,222.3253927963836,894470.0,1.847262850790189,2.4856486304785363
2020-04-24,AC,191,409762,245.3807549609049,894470.0,1.7432881041020087,2.4851685983446945
2020-04-25,AC,215,409762,270.75770673395215,894470.0,1.8356178465253088,2.4847930005881427
2020-04-26,AC,235,409762,298.6887084800041,894470.0,1.9201637899382096,2.484329478387962
2020-04-27,AC,256,409762,329.4291687700047,894470.0,2.0811143022030514,2.483879411009909
2020-04-28,AC,272,409762,363.25885410918295,894470.0,2.541895501200269,2.4833871114051256
2020-04-29,AC,300,409762,400.4867138869721,894470.0,3.5329943979680625,2.4827443608944058
2020-04-30,AC,344,409762,441.45144793139406,894470.0,4.130035879098404,2.450577898615205
2020-05-01,AC,408,409762,485.00503753874915,894470.0,4.794129127871481,2.3976414719370283
