,date,state,cases,deaths,population,Infec_mean,Infec_lb,Infec_ub
0,2020-03-20,RN,1,0,261469.0,0.0,0.0,0.0
1,2020-03-21,RN,3,0,558847.0,1.8182671769350545,0.9123629536963812,2.7296523677862847
2,2020-03-22,RN,4,0,558847.0,4.5593921996655125,2.838501976726715,6.316944940521635
3,2020-03-23,RN,4,0,558847.0,7.976816156818701,5.472426309905881,10.4972656928067
4,2020-03-24,RN,5,0,558847.0,11.950380322478088,8.61571029802681,15.182765237266455
5,2020-03-25,RN,5,0,558847.0,16.410720572463415,12.323036942206016,20.441750335886447
6,2020-03-26,RN,6,0,558847.0,21.31812340669481,16.4478823212867,26.03077593039453
7,2020-03-27,RN,9,0,558847.0,26.6450530843159,21.295746184160304,31.92748266175477
8,2020-03-28,RN,34,1,951741.0,32.369593749606345,26.422891510380182,37.95116970954585
9,2020-03-29,RN,34,1,951741.0,38.48467624132866,31.537681243366052,44.576902730451295
10,2020-03-30,RN,41,1,1008461.0,44.981448662046816,37.04620727895777,51.82064597956812
11,2020-03-31,RN,40,1,1008461.0,51.86315967857364,42.911256538528654,59.53689634705896
12,2020-04-01,RN,44,1,1081958.0,59.15422529763213,49.221182262136715,67.7166775847644
13,2020-04-02,RN,50,1,1081958.0,66.88120827183678,56.0174991221574,76.50016269092548
14,2020-04-03,RN,99,3,1164441.0,75.07257173271162,63.030311529505994,85.74762089333875
15,2020-04-04,RN,99,3,1164441.0,83.76259053238374,70.64780117988717,95.44977668786127
16,2020-04-05,RN,133,5,1221251.0,92.985422619329,78.69648872008217,105.7142942598008
17,2020-04-06,RN,133,5,1221251.0,102.77446228389341,87.28231361271077,116.57120959336315
18,2020-04-07,RN,138,6,1221251.0,113.16457888793622,96.31896511471732,128.05446106694396
19,2020-04-08,RN,146,8,1221251.0,124.19274433698584,106.02958992685372,140.17197009132406
20,2020-04-09,RN,146,8,1221251.0,135.8982825501301,116.47606992314226,152.9993586349235
21,2020-04-10,RN,146,8,1221251.0,148.32321065988006,127.62751636331757,166.5843956656885
22,2020-04-11,RN,158,10,1266563.0,161.5108898098825,139.53384530058457,180.9589783313372
23,2020-04-12,RN,194,13,1329743.0,175.5104768087494,152.14705832706184,196.1718000318754
24,2020-04-13,RN,217,13,1443661.0,190.36732449342117,165.35629543372124,212.2652739318582
25,2020-04-14,RN,228,14,1458855.0,206.1368859051546,179.68898911742954,229.2950140314514
26,2020-04-15,RN,228,15,1458855.0,222.87639963221184,195.0625816817504,247.3174030223579
27,2020-04-16,RN,259,18,1484106.0,240.64053158361511,211.4565193401813,266.37402781517625
28,2020-04-17,RN,280,19,1565458.0,259.49610095526367,228.91380560738378,286.5481760243279
29,2020-04-18,RN,302,21,1622060.0,279.51003160465547,247.52869624319104,307.8847745537213
30,2020-04-19,RN,316,21,1640585.0,300.7526348109662,267.37907284583696,330.45944298527434
31,2020-04-20,RN,325,22,1640585.0,323.29911418506083,288.5453975864588,354.34227074036164
32,2020-04-21,RN,342,22,1654162.0,347.2290450134604,311.11411996119733,379.61480360489884
33,2020-04-22,RN,373,26,1684691.0,372.6277175310497,335.1775688776814,406.3466232470548
34,2020-04-23,RN,395,29,1719646.0,399.58526878249137,360.83491789107177,434.57352842515394
35,2020-04-24,RN,411,31,1730897.0,428.1967955115158,388.1894452272097,464.3877375578434
36,2020-04-25,RN,428,35,1765674.0,458.5636518042377,417.35121354686976,495.91063191103206
37,2020-04-26,RN,436,35,1765674.0,490.79304492900843,448.4381973895138,529.390251223536
38,2020-04-27,RN,455,37,1778773.0,524.9986936442151,481.5771728483931,564.4120939260383
39,2020-04-28,RN,567,42,1853878.0,561.3018799743094,516.8627747015129,601.4384577563999
40,2020-04-29,RN,610,44,1881706.0,599.8307365784191,554.3763636342396,640.9956377519272
41,2020-04-30,RN,666,44,1921260.0,640.7215810513558,594.3515633072623,683.0301317636283
42,2020-05-01,RN,699,47,1939371.0,684.1185458661765,636.9459422387806,727.3510293545911
43,2020-05-02,RN,715,49,1962797.0,730.1747768580083,682.3310429726171,773.9447029899246
44,2020-05-03,RN,735,49,1972471.0,779.0525325786333,730.9172513697526,823.1995984208478
45,2020-05-04,RN,826,52,1988839.0,830.9235990253331,782.9617118571755,875.379042107861
46,2020-05-05,RN,877,57,2056053.0,885.9707406944033,838.4426808511209,930.7023463035124
47,2020-05-06,RN,937,60,2076798.0,944.3870405090283,897.5823114821777,989.2021257893808
48,2020-05-07,RN,937,60,2076798.0,1006.377850013224,960.6189471277784,1051.0570700517983
49,2020-05-08,RN,1046,68,2137504.0,1072.1605260053236,1027.363604815819,1116.5282529131696
50,2020-05-09,RN,1046,68,2137504.0,1141.9653994040034,1098.3022977142462,1186.2651001543145
51,2020-05-10,RN,1056,68,2137504.0,1216.0366130709795,1173.0324082375355,1258.3154800125576
52,2020-05-11,RN,1124,71,2168822.0,1294.6327446900254,1252.4531712629696,1334.719413551194
53,2020-05-12,RN,1340,83,2246570.0,1378.0278456213125,1336.697913870116,1419.5670842213476
54,2020-05-13,RN,1453,84,2265501.0,1466.5128005767774,1425.3437467430647,1508.297344275609
55,2020-05-14,RN,1600,87,2293835.0,1560.3949694672535,1520.5120315930114,1601.3604809899803
56,2020-05-15,RN,1600,87,2293835.0,1660.0004667310113,1620.5795979144505,1699.7385323060134
57,2020-05-16,RN,1715,100,2299335.0,1765.6743772751865,1726.422630491568,1806.95574302676
58,2020-05-17,RN,1777,103,2308837.0,1877.7822957635433,1836.8285837014707,1921.2574393618163
59,2020-05-18,RN,2031,117,2361707.0,1996.711100998404,1951.4364425082545,2044.8756634440726
60,2020-05-19,RN,2212,124,2380287.0,2122.8700824850885,2070.307813961809,2173.8298996384588
61,2020-05-20,RN,2391,129,2406157.0,2256.6929293198555,2203.664881129978,2316.9448070021285
62,2020-05-21,RN,2523,132,2407875.0,2398.638111536383,2337.182919883794,2464.5514056660936
63,2020-05-22,RN,2733,134,2427287.0,2549.190609746805,2482.162454242417,2625.4274630321315
0,2020-03-19,MS,1,0,57665.0,0.0,0.0,0.0
1,2020-03-20,MS,1,0,57665.0,0.7429345863482517,0.0840744376121142,1.1084018914536973
2,2020-03-21,MS,2,0,150191.0,1.914695465780471,0.7710816960612685,2.7129872013017784
3,2020-03-22,MS,2,0,150191.0,3.346091199712609,1.7934641688266049,4.6320344486732346
4,2020-03-23,MS,2,0,150191.0,4.942218638459001,2.9012085739754903,6.797413930557046
5,2020-03-24,MS,2,0,150191.0,6.643848619854277,4.200070078380349,9.101410750260964
6,2020-03-25,MS,2,0,150191.0,8.417034332940307,5.375586099043874,11.526001192020368
7,2020-03-26,MS,2,0,150191.0,10.241574416585344,6.695622632360298,13.993798829888055
8,2020-03-27,MS,4,0,181266.0,12.105070534547751,7.972386320863894,16.471550568596395
9,2020-03-28,MS,6,0,404215.0,14.000036419733807,9.304448313267264,18.94930727422455
