,date,state,cases,deaths,population,Infec_mean,Infec_lb,Infec_ub
0,2020-03-12,RN,1,0,884122.0,0.0,0.0,0.0
1,2020-03-13,RN,1,0,884122.0,1.0940407099617062,0.01510954812415588,1.660176344619404
2,2020-03-14,RN,1,0,884122.0,2.8087150903301508,1.0514048558522202,3.9802613602079666
3,2020-03-15,RN,1,0,884122.0,4.9814472120657385,2.838504769146207,6.8148561751408065
4,2020-03-16,RN,1,0,884122.0,7.546024362207151,4.643238128486079,10.161203621897716
5,2020-03-17,RN,1,0,884122.0,10.479338452105596,6.692886107330307,14.005981156393604
6,2020-03-18,RN,1,0,884122.0,13.789817871677068,9.151909075361672,18.259964080352137
7,2020-03-19,RN,1,0,884122.0,17.500226107753523,11.82039262135536,22.94261261753121
8,2020-03-20,RN,6,0,1145591.0,21.647516279652987,14.817070609374523,28.13976786377132
9,2020-03-21,RN,9,0,1442969.0,26.27594903530365,18.57010612685604,33.82443447626473
10,2020-03-22,RN,13,0,1442969.0,31.43726256415289,22.723207577242718,40.12675681000436
11,2020-03-23,RN,13,0,1442969.0,37.19269690158717,27.17190996451704,47.09628575414853
12,2020-03-24,RN,14,0,1442969.0,43.603216192505826,32.55258269292909,54.774975866314456
13,2020-03-25,RN,14,0,1442969.0,50.738593000220064,38.790108463656956,63.39058954622956
14,2020-03-26,RN,19,0,1442969.0,58.66953471132829,45.883823867099714,72.47726226250012
15,2020-03-27,RN,28,0,1442969.0,67.46095883530369,53.47118166131681,82.58782038342707
16,2020-03-28,RN,68,1,1835863.0,77.12725296357719,61.73530844862864,93.73216044440123
17,2020-03-29,RN,68,1,1835863.0,87.69045863640957,72.08418523954444,105.66436983877213
18,2020-03-30,RN,77,1,1892583.0,99.19960046863748,83.15947161201797,118.5269084630043
19,2020-03-31,RN,82,1,1892583.0,111.68759105466249,95.17414496632423,132.28350805326858
20,2020-04-01,RN,92,2,1966080.0,125.13822258171369,107.65309698833198,146.04743768787804
21,2020-04-02,RN,106,2,1966080.0,139.52090706919338,121.85762181141784,161.382914467941
22,2020-04-03,RN,176,4,2048563.0,154.729424628506,136.10041958612678,176.8735906626062
23,2020-04-04,RN,176,4,2048563.0,170.76018335023528,151.0127050979856,192.7499783157607
24,2020-04-05,RN,246,7,2105373.0,187.6564745788314,166.67773092056092,209.82677519663844
25,2020-04-06,RN,246,7,2105373.0,205.50373190937626,182.8488814210601,228.69508229539147
26,2020-04-07,RN,254,8,2105373.0,224.38586757797955,199.11585147424557,250.08419468871205
27,2020-04-08,RN,262,11,2105373.0,244.3788854852212,217.5815915789454,272.62043274114416
28,2020-04-09,RN,262,11,2105373.0,265.5581218570634,236.7894145208717,295.12250794182836
29,2020-04-10,RN,263,11,2105373.0,287.99949658998696,256.8949876523149,319.7815338306711
30,2020-04-11,RN,289,13,2150685.0,311.78005168362284,278.7688932924153,345.67773097366694
31,2020-04-12,RN,339,17,2213865.0,336.98134132949764,302.31581651042967,373.0640456253356
32,2020-04-13,RN,376,18,2327783.0,363.6905972073608,326.6455729865158,402.05159047258616
33,2020-04-14,RN,399,19,2342977.0,391.99633098466666,352.06794306561005,432.683397476455
34,2020-04-15,RN,400,20,2342977.0,421.9955034123005,379.1947666277688,464.97968542157344
35,2020-04-16,RN,463,23,2368228.0,453.7904258796175,408.1406027300769,498.1688255089628
36,2020-04-17,RN,516,24,2449580.0,487.48742474743693,439.1102925386325,533.2804889214433
37,2020-04-18,RN,561,26,2506182.0,523.1996985155264,472.696727341614,570.452127621283
38,2020-04-19,RN,595,27,2524707.0,561.0493312438269,508.562415340823,609.7686940676798
39,2020-04-20,RN,608,28,2524707.0,601.162074842574,546.8641525683408,651.9267572609571
