,Source,beta_0,beta_1,t1,beta_2,t2,r0
AC,AC_capital,[[1.19 0.81 1.59]],[[1.04 0.72 1.49]],[['2020-04-22' '2020-04-15' '2020-04-25']],,,[1.92 0.92 3.54]
AC,AC_interior,[[0.85 0.65 1.1 ]],[[1.45 1.09 1.83]],[['2020-04-21' '2020-04-17' '2020-04-24']],,,[1.37 0.81 2.34]
AC,AC_state,[[1.19 0.88 1.59]],[[1.18 0.83 1.62]],[['2020-04-18' '2020-04-12' '2020-04-25']],,,[1.84 0.98 3.35]
AL,AL_capital,[[0.46 0.11 0.73]],[[1.2  0.88 1.5 ]],[['2020-04-02' '2020-03-23' '2020-04-14']],[[0.48 0.36 0.61]],[['2020-04-27' '2020-04-25' '2020-04-29']],[1.18 0.2  2.41]
AL,AL_interior,[[0.39 0.05 0.8 ]],[[1.18 0.8  1.5 ]],[['2020-04-10' '2020-04-05' '2020-04-19']],[[0.79 0.56 1.14]],[['2020-04-27' '2020-04-23' '2020-04-30']],[0.98 0.08 2.73]
AL,AL_state,[[0.5  0.08 0.83]],[[1.18 0.82 1.5 ]],[['2020-04-02' '2020-03-20' '2020-04-14']],[[0.58 0.42 0.79]],[['2020-04-26' '2020-04-24' '2020-04-30']],[1.26 0.15 2.73]
AM,AM_capital,[[1.61 1.27 1.89]],[[0.76 0.59 0.96]],[['2020-04-03' '2020-03-30' '2020-04-08']],,,[3.19 1.94 4.78]
AM,AM_interior,[[1.59 1.26 1.93]],[[0.93 0.72 1.17]],[['2020-04-08' '2020-04-05' '2020-04-11']],,,[3.26 2.03 4.93]
AM,AM_state,[[1.61 1.3  1.9 ]],[[0.83 0.67 1.03]],[['2020-04-03' '2020-03-29' '2020-04-10']],,,[3.23 2.05 4.67]
AP,AP_capital,[[1.66 1.31 1.96]],[[0.8  0.62 1.05]],[['2020-04-01' '2020-03-30' '2020-04-03']],,,[3.34 1.97 4.98]
AP,AP_interior,[[1.63 1.15 1.92]],[[0.94 0.66 1.31]],[['2020-04-17' '2020-04-10' '2020-05-01']],,,[3.09 1.51 4.99]
AP,AP_state,[[1.68 1.36 1.97]],[[0.81 0.64 1.08]],[['2020-04-01' '2020-03-28' '2020-04-03']],,,[3.48 2.11 5.03]
BA,BA_capital,[[1.54 1.23 1.9 ]],[[0.85 0.67 1.09]],[['2020-03-31' '2020-03-25' '2020-04-05']],,,[2.81 1.7  4.33]
BA,BA_interior,[[1.24 0.91 1.65]],[[1.09 0.74 1.47]],[['2020-03-27' '2020-03-23' '2020-04-03']],,,[1.98 1.04 3.66]
BA,BA_state,[[1.44 1.04 1.83]],[[0.91 0.66 1.18]],[['2020-03-30' '2020-03-24' '2020-04-04']],,,[2.54 1.39 4.28]
CE,CE_capital,[[1.81 1.6  1.98]],[[0.61 0.53 0.72]],[['2020-03-31' '2020-03-28' '2020-04-03']],,,[4.4  3.27 5.35]
CE,CE_interior,[[1.53 1.16 1.88]],[[1.   0.76 1.27]],[['2020-03-30' '2020-03-25' '2020-04-03']],,,[2.93 1.73 4.6 ]
CE,CE_state,[[1.8  1.57 1.99]],[[0.65 0.56 0.79]],[['2020-03-31' '2020-03-29' '2020-04-03']],,,[4.4  3.29 5.41]
DF,DF_capital,[[1.06 0.75 1.43]],[[0.53 0.37 0.77]],[['2020-03-23' '2020-03-19' '2020-03-29']],[[0.76 0.53 1.08]],[['2020-04-23' '2020-04-22' '2020-04-26']],[2.49 1.16 4.48]
DF,DF_interior,[[1.06 0.75 1.43]],[[0.53 0.37 0.77]],[['2020-03-23' '2020-03-19' '2020-03-29']],[[0.76 0.53 1.08]],[['2020-04-23' '2020-04-22' '2020-04-26']],[2.49 1.16 4.48]
DF,DF_state,[[1.06 0.75 1.43]],[[0.53 0.37 0.77]],[['2020-03-23' '2020-03-19' '2020-03-29']],[[0.76 0.53 1.08]],[['2020-04-23' '2020-04-22' '2020-04-26']],[2.49 1.16 4.48]
ES,ES_capital,[[1.37 0.96 1.82]],[[0.88 0.6  1.25]],[['2020-04-09' '2020-04-03' '2020-04-13']],,,[2.24 1.12 4.13]
ES,ES_interior,[[1.57 1.22 1.88]],[[0.78 0.61 1.  ]],[['2020-04-09' '2020-04-05' '2020-04-13']],,,[2.93 1.77 4.46]
ES,ES_state,[[1.64 1.29 1.97]],[[0.73 0.57 0.92]],[['2020-04-07' '2020-04-01' '2020-04-13']],,,[3.26 2.02 5.01]
GO,GO_capital,[[1.44 1.02 1.87]],[[0.83 0.58 1.14]],[['2020-03-26' '2020-03-23' '2020-03-29']],,,[2.47 1.22 4.47]
GO,GO_interior,[[1.27 0.86 1.75]],[[0.94 0.61 1.4 ]],[['2020-03-23' '2020-03-16' '2020-03-29']],,,[2.09 0.91 4.19]
GO,GO_state,[[1.49 1.14 1.85]],[[0.82 0.61 1.2 ]],[['2020-03-26' '2020-03-21' '2020-03-29']],,,[2.65 1.37 4.25]
MA,MA_capital,[[1.6  1.21 1.91]],[[0.65 0.5  0.83]],[['2020-04-10' '2020-04-08' '2020-04-13']],,,[3.3  1.97 5.03]
MA,MA_interior,[[1.68 1.37 1.94]],[[0.98 0.77 1.25]],[['2020-04-15' '2020-04-08' '2020-04-28']],,,[3.55 2.15 5.16]
MA,MA_state,[[1.66 1.32 1.97]],[[0.8  0.65 0.96]],[['2020-04-08' '2020-04-04' '2020-04-13']],,,[3.44 2.26 4.93]
MG,MG_capital,[[1.79 1.5  1.98]],[[0.48 0.41 0.58]],[['2020-03-25' '2020-03-23' '2020-03-28']],,,[4.17 2.97 5.3 ]
MG,MG_interior,[[1.5  1.15 1.86]],[[0.8  0.59 1.05]],[['2020-03-25' '2020-03-21' '2020-03-30']],,,[2.77 1.59 4.48]
MG,MG_state,[[1.63 1.31 1.94]],[[0.67 0.54 0.85]],[['2020-03-22' '2020-03-19' '2020-03-26']],,,[3.36 2.1  4.89]
