,Source,beta_0,beta_1,t1,beta_2,t2,r0
AC,AC_capital,[[1.19295169 0.81100123 1.59093306]],[[1.04366366 0.72367908 1.49064056]],[['2020-04-22' '2020-04-15' '2020-04-25']],,,[1.92 0.92 3.54]
AC,AC_interior,[[0.84997677 0.64949999 1.10260184]],[[1.44898942 1.08757364 1.82880782]],[['2020-04-21' '2020-04-17' '2020-04-24']],,,[1.37 0.81 2.34]
AC,AC_state,[[1.18646366 0.87910816 1.5942187 ]],[[1.18322916 0.82816133 1.61834485]],[['2020-04-18' '2020-04-12' '2020-04-25']],,,[1.84 0.98 3.35]
AL,AL_capital,[[0.4626831  0.10921474 0.73119814]],[[1.19973081 0.87662641 1.4996761 ]],[['2020-04-02' '2020-03-23' '2020-04-14']],[[0.47753479 0.35558644 0.60755065]],[['2020-04-27' '2020-04-25' '2020-04-29']],[1.18 0.2  2.41]
AL,AL_interior,[[0.39055329 0.04660392 0.80138907]],[[1.17865857 0.80339349 1.49894574]],[['2020-04-10' '2020-04-05' '2020-04-19']],[[0.79279869 0.56157796 1.1369758 ]],[['2020-04-27' '2020-04-23' '2020-04-30']],[0.98 0.08 2.73]
AL,AL_state,[[0.5021945  0.08479327 0.83396244]],[[1.17853418 0.82051334 1.49981547]],[['2020-04-02' '2020-03-20' '2020-04-14']],[[0.57938695 0.41506973 0.79210912]],[['2020-04-26' '2020-04-24' '2020-04-30']],[1.26 0.15 2.73]
AM,AM_capital,[[1.60793219 1.27092646 1.89356777]],[[0.75601575 0.59217011 0.95691283]],[['2020-04-03' '2020-03-30' '2020-04-08']],,,[3.19 1.94 4.78]
AM,AM_interior,[[1.58619088 1.26281726 1.93454886]],[[0.92887963 0.72448419 1.1714435 ]],[['2020-04-08' '2020-04-05' '2020-04-11']],,,[3.26 2.03 4.93]
AM,AM_state,[[1.6137449  1.29604943 1.89702257]],[[0.83270519 0.67382092 1.03148108]],[['2020-04-03' '2020-03-29' '2020-04-10']],,,[3.23 2.05 4.67]
AP,AP_capital,[[1.66204763 1.31315828 1.9594353 ]],[[0.79503694 0.61676106 1.0492971 ]],[['2020-04-01' '2020-03-30' '2020-04-03']],,,[3.34 1.97 4.98]
AP,AP_interior,[[1.62653588 1.1516156  1.92274809]],[[0.93852286 0.65726761 1.30527112]],[['2020-04-17' '2020-04-10' '2020-05-01']],,,[3.09 1.51 4.99]
AP,AP_state,[[1.68331621 1.36265068 1.97265202]],[[0.81421403 0.64231461 1.07603835]],[['2020-04-01' '2020-03-28' '2020-04-03']],,,[3.48 2.11 5.03]
BA,BA_capital,[[1.53709444 1.22507033 1.89599178]],[[0.84783386 0.66516783 1.09266784]],[['2020-03-31' '2020-03-25' '2020-04-05']],,,[2.81 1.7  4.33]
BA,BA_interior,[[1.23973645 0.90900389 1.64925679]],[[1.08987889 0.74381001 1.47045402]],[['2020-03-27' '2020-03-23' '2020-04-03']],,,[1.98 1.04 3.66]
BA,BA_state,[[1.43980832 1.04130406 1.82521851]],[[0.90677847 0.6643782  1.17887333]],[['2020-03-30' '2020-03-24' '2020-04-04']],,,[2.54 1.39 4.28]
CE,CE_capital,[[1.81312449 1.6002199  1.9815834 ]],[[0.60607678 0.52606226 0.71575005]],[['2020-03-31' '2020-03-28' '2020-04-03']],,,[4.4  3.27 5.35]
CE,CE_interior,[[1.52543413 1.16070213 1.87766199]],[[0.99560653 0.76339922 1.26978782]],[['2020-03-30' '2020-03-25' '2020-04-03']],,,[2.93 1.73 4.6 ]
CE,CE_state,[[1.80196302 1.57299385 1.9876813 ]],[[0.65034527 0.55709863 0.79304708]],[['2020-03-31' '2020-03-29' '2020-04-03']],,,[4.4  3.29 5.41]
DF,DF_capital,[[1.05770209 0.74732182 1.4284655 ]],[[0.52837435 0.37459467 0.76776589]],[['2020-03-23' '2020-03-19' '2020-03-29']],[[0.7643913  0.52975853 1.07918068]],[['2020-04-23' '2020-04-22' '2020-04-26']],[2.49 1.16 4.48]
DF,DF_interior,[[1.05770209 0.74732182 1.4284655 ]],[[0.52837435 0.37459467 0.76776589]],[['2020-03-23' '2020-03-19' '2020-03-29']],[[0.7643913  0.52975853 1.07918068]],[['2020-04-23' '2020-04-22' '2020-04-26']],[2.49 1.16 4.48]
DF,DF_state,[[1.05770209 0.74732182 1.4284655 ]],[[0.52837435 0.37459467 0.76776589]],[['2020-03-23' '2020-03-19' '2020-03-29']],[[0.7643913  0.52975853 1.07918068]],[['2020-04-23' '2020-04-22' '2020-04-26']],[2.49 1.16 4.48]
ES,ES_capital,[[1.36953614 0.96308988 1.81964284]],[[0.88409165 0.59750666 1.25445542]],[['2020-04-09' '2020-04-03' '2020-04-13']],,,[2.24 1.12 4.13]
ES,ES_interior,[[1.56926115 1.21830358 1.88251422]],[[0.78289693 0.61249823 0.99786571]],[['2020-04-09' '2020-04-05' '2020-04-13']],,,[2.93 1.77 4.46]
