,beta_0,beta_1,delta,ia0,is0,e0,r0,t1,t2,cv,p,kappa,gammaA,gammaS,beta_2,Source
AC,0.8110012329070689,0.7236790766188483,0.11747238073487747,1.6569972293346076e-06,2.366938293790897e-06,3.640630234939009e-06,[1.92 0.92 3.54],2020-04-15,,-10.77,0.2,0.25,0.285714286,0.24999375,,AC_capital
AC,0.6494999888701355,1.087573640486671,0.16079160903614328,9.469024110259693e-07,6.3349268597976385e-06,1.0190658477681699e-05,[1.37 0.81 2.34],2020-04-17,,67.45,0.2,0.25,0.285714286,0.24999375,,AC_interior
AC,0.8791081578889218,0.8281613292249183,0.11354991405372875,7.09660617040988e-07,2.6595574366170606e-06,2.6961369476322917e-06,[1.84 0.98 3.35],2020-04-12,,-5.8,0.2,0.25,0.285714286,0.24999375,,AC_state
AL,0.10921474013318007,0.8766264120606808,0.37740119841036285,6.689293812633224e-09,1.0406937124110477e-08,1.1441134621326352e-08,[1.18 0.2  2.41],2020-03-23,2020-04-25,702.6630938202055,0.2,0.25,0.28571428,0.24999375,0.3555864383565406,AL_capital
AL,0.0466039174542433,0.8033934897313082,0.33451267522884365,1.4803558335999874e-08,7.25355478346391e-09,2.287940810958563e-08,[0.98 0.08 2.73],2020-04-05,2020-04-23,1623.8754457071057,0.2,0.25,0.28571428,0.24999375,0.5615779589107059,AL_interior
AL,0.08479326572092011,0.8205133377758707,0.3383678722381958,7.275271433969314e-09,3.4439324879442616e-09,3.531444266913543e-09,[1.26 0.15 2.73],2020-03-20,2020-04-24,867.6633289209834,0.2,0.25,0.28571428,0.24999375,0.41506973187203966,AL_state
AM,1.2709264604960715,0.5921701052385812,0.25931720448659984,1.5871408114926743e-07,3.547788645966077e-07,2.1894301621240218e-07,[3.19 1.94 4.78],2020-03-30,,-53.41,0.2,0.25,0.285714286,0.24999375,,AM_capital
AM,1.2628172621892106,0.7244841889542069,0.2882624507723024,2.3298442176006345e-07,1.3012572060900435e-07,2.2038169505956214e-07,[3.26 2.03 4.93],2020-04-05,,-42.63,0.2,0.25,0.285714286,0.24999375,,AM_interior
AM,1.2960494275390195,0.6738209223590771,0.2790328244577774,1.1340810908770858e-07,1.6201890295274102e-07,1.1087076845842132e-07,[3.23 2.05 4.67],2020-03-29,,-48.01,0.2,0.25,0.285714286,0.24999375,,AM_state
AP,1.31315827519533,0.6167610588350622,0.25009975955040936,9.430823760451142e-07,1.7328242794399083e-06,6.566009466882183e-07,[3.34 1.97 4.98],2020-03-30,,-53.03,0.2,0.25,0.285714286,0.24999375,,AP_capital
AP,1.1516155972901738,0.6572676111463459,0.18362234231074628,1.3286796761858022e-06,1.1873339494217255e-05,4.695059019455383e-06,[3.09 1.51 4.99],2020-04-10,,-42.93,0.2,0.25,0.285714286,0.24999375,,AP_interior
AP,1.3626506847067663,0.6423146089810076,0.26620830090543973,5.07388433828755e-07,5.172027748809198e-07,2.242716501812272e-07,[3.48 2.11 5.03],2020-03-28,,-52.86,0.2,0.25,0.285714286,0.24999375,,AP_state
BA,1.2250703348041985,0.6651678274842896,0.2106262661023705,2.3263298417438506e-07,1.0112901117118035e-06,1.4070603956515295e-07,[2.81 1.7  4.33],2020-03-25,,-45.7,0.2,0.25,0.285714286,0.24999375,,BA_capital
BA,0.9090038887930155,0.7438100142755327,0.12299149198267889,4.1868435547495195e-08,2.087190632366822e-07,2.4808418291284513e-08,[1.98 1.04 3.66],2020-03-23,,-18.17,0.2,0.25,0.285714286,0.24999375,,BA_interior
