,beta_0,beta_1,delta,ia0,is0,e0,r0,t1,t2,cv,p,kappa,gammaA,gammaS,beta_2,Source
AC,1.192951687782616,1.0436636647721045,0.2892844617775418,1.196806220997838e-05,1.151232345026256e-05,1.8286602514600746e-05,[1.92 0.92 3.54],2020-04-22,,-12.51,0.2,0.25,0.285714286,0.24999375,,AC_capital
AC,0.8499767658062022,1.4489894223876973,0.2896979701782741,1.1822165558525181e-05,1.5823224691934574e-05,1.7520424018224102e-05,[1.37 0.81 2.34],2020-04-21,,70.47,0.2,0.25,0.285714286,0.24999375,,AC_interior
AC,1.1864636573633955,1.1832291550611536,0.26875345567984676,6.374338371588871e-06,8.18621251057215e-06,8.485631409172605e-06,[1.84 0.98 3.35],2020-04-18,,-0.27,0.2,0.25,0.285714286,0.24999375,,AC_state
AL,0.4626831024039829,1.199730814351967,0.6262664912583276,8.712752171165063e-06,1.0511360986051182e-05,6.021738749022805e-06,[1.18 0.2  2.41],2020-04-02,2020-04-27,159.298601595449,0.2,0.25,0.28571428,0.24999375,0.47753478899086477,AL_capital
AL,0.3905532880151257,1.1786585735822996,0.6142226888667145,5.841363762325783e-06,6.241425880584623e-06,5.36333310641967e-06,[0.98 0.08 2.73],2020-04-10,2020-04-27,201.79199862136394,0.2,0.25,0.28571428,0.24999375,0.7927986947902866,AL_interior
AL,0.502194504287626,1.1785341830668854,0.6106962613292786,3.0155663970405834e-06,3.3190415028757252e-06,2.5691317682232446e-06,[1.26 0.15 2.73],2020-04-02,2020-04-26,134.6768379591613,0.2,0.25,0.28571428,0.24999375,0.5793869498652469,AL_state
AM,1.6079321928377917,0.7560157517099922,0.421901307679162,2.435537869114598e-06,2.9606763937531877e-06,2.2779705127805995e-06,[3.19 1.94 4.78],2020-04-03,,-52.98,0.2,0.25,0.285714286,0.24999375,,AM_capital
AM,1.5861908824746527,0.9288796330152823,0.44727286257687354,2.426243827893207e-06,2.382829637677012e-06,2.651167820106172e-06,[3.26 2.03 4.93],2020-04-08,,-41.44,0.2,0.25,0.285714286,0.24999375,,AM_interior
AM,1.6137448998418211,0.832705185574679,0.4287679113383551,1.3908213742058073e-06,1.4751316922154173e-06,1.2746227962574065e-06,[3.23 2.05 4.67],2020-04-03,,-48.4,0.2,0.25,0.285714286,0.24999375,,AM_state
AP,1.6620476326320297,0.7950369433479949,0.4320305476630144,9.962486413952814e-06,1.0453839642758194e-05,9.00248854367967e-06,[3.34 1.97 4.98],2020-04-01,,-52.17,0.2,0.25,0.285714286,0.24999375,,AP_capital
AP,1.6265358796828815,0.9385228611291291,0.3925265092801277,1.7756386183951565e-05,2.3875279351060094e-05,1.9703593412692842e-05,[3.09 1.51 4.99],2020-04-17,,-42.3,0.2,0.25,0.285714286,0.24999375,,AP_interior
AP,1.6833162141387918,0.8142140254145193,0.4523631570033331,6.064588019471965e-06,6.506035148367264e-06,5.2263808648661095e-06,[3.48 2.11 5.03],2020-04-01,,-51.63,0.2,0.25,0.285714286,0.24999375,,AP_state
BA,1.537094444844609,0.8478338600383926,0.3667514870254991,2.144530574664149e-06,2.5282797584226466e-06,2.1386408594901337e-06,[2.81 1.7  4.33],2020-03-31,,-44.84,0.2,0.25,0.285714286,0.24999375,,BA_capital
BA,1.2397364539765432,1.089878885585997,0.2843296599238848,5.485646018954749e-07,6.626553274777556e-07,5.254589706417237e-07,[1.98 1.04 3.66],2020-03-27,,-12.09,0.2,0.25,0.285714286,0.24999375,,BA_interior
BA,1.4398083186878017,0.9067784652171423,0.343671555832682,4.118629072771322e-07,4.904102537434821e-07,3.9583740079615567e-07,[2.54 1.39 4.28],2020-03-30,,-37.02,0.2,0.25,0.285714286,0.24999375,,BA_state
CE,1.8131244888494893,0.6060767789739586,0.5807988089667889,2.5840297304506633e-06,2.9566786323287496e-06,2.2973102945458927e-06,[4.4  3.27 5.35],2020-03-31,,-66.57,0.2,0.25,0.285714286,0.24999375,,CE_capital
CE,1.5254341303576258,0.9956065265398604,0.40114369445999337,7.540844525426852e-07,8.293639284158641e-07,8.134906245509544e-07,[2.93 1.73 4.6 ],2020-03-30,,-34.73,0.2,0.25,0.285714286,0.24999375,,CE_interior
CE,1.8019630236193536,0.6503452731730144,0.5854031547144096,7.207506773095163e-07,8.535109878904299e-07,6.363424301660647e-07,[4.4  3.29 5.41],2020-03-31,,-63.91,0.2,0.25,0.285714286,0.24999375,,CE_state
DF,1.057702090925304,0.5283743500574443,0.5542680462603096,7.285389452267759e-06,8.563849662382445e-06,4.110446877604691e-06,[2.49 1.16 4.48],2020-03-23,2020-04-23,-50.04506896689509,0.2,0.25,0.28571428,0.24999375,0.7643913027382595,DF_capital
DF,1.057702090925304,0.5283743500574443,0.5542680462603096,7.285389452267759e-06,8.563849662382445e-06,4.110446877604691e-06,[2.49 1.16 4.48],2020-03-23,2020-04-23,-50.04506896689509,0.2,0.25,0.28571428,0.24999375,0.7643913027382595,DF_interior
DF,1.057702090925304,0.5283743500574443,0.5542680462603096,7.285389452267759e-06,8.563849662382445e-06,4.110446877604691e-06,[2.49 1.16 4.48],2020-03-23,2020-04-23,-50.04506896689509,0.2,0.25,0.28571428,0.24999375,0.7643913027382595,DF_state
ES,1.3695361356714,0.8840916450994152,0.2982402215321467,1.4707630463814229e-05,1.8011698140340732e-05,2.028664888316448e-05,[2.24 1.12 4.13],2020-04-09,,-35.45,0.2,0.25,0.285714286,0.24999375,,ES_capital
ES,1.569261150055004,0.7828969272115406,0.38061165029266486,1.6533404839475608e-06,2.036704525197427e-06,1.6443801594242748e-06,[2.93 1.77 4.46],2020-04-09,,-50.11,0.2,0.25,0.285714286,0.24999375,,ES_interior
ES,1.6359275920088612,0.7342157434979356,0.42588126941055854,1.4271438391406197e-06,1.9515322414048053e-06,1.6833342307442511e-06,[3.26 2.02 5.01],2020-04-07,,-55.12,0.2,0.25,0.285714286,0.24999375,,ES_state
GO,1.4373859186910551,0.827001333934839,0.3271121212655042,2.99365656005016e-06,2.5848552480176537e-06,3.0249008626586206e-06,[2.47 1.22 4.47],2020-03-26,,-42.46,0.2,0.25,0.285714286,0.24999375,,GO_capital
GO,1.2738883702671189,0.9373572762321846,0.30015455930700996,1.0893636125229976e-06,1.202206807394727e-06,1.1726027448945039e-06,[2.09 0.91 4.19],2020-03-23,,-26.42,0.2,0.25,0.285714286,0.24999375,,GO_interior
GO,1.4940520208571662,0.8202855965510158,0.3469885971586558,8.604967696817864e-07,9.670657631127903e-07,8.905665574756646e-07,[2.65 1.37 4.25],2020-03-26,,-45.1,0.2,0.25,0.285714286,0.24999375,,GO_state
MA,1.60335979459967,0.6549662516908397,0.4482861160268618,4.830491629244156e-06,5.615183757187113e-06,4.7106175985748795e-06,[3.3  1.97 5.03],2020-04-10,,-59.15,0.2,0.25,0.285714286,0.24999375,,MA_capital
MA,1.6784743903439425,0.9763108533513377,0.46891209411839824,1.064863827375086e-06,1.3085995210664223e-06,1.07745819204649e-06,[3.55 2.15 5.16],2020-04-15,,-41.83,0.2,0.25,0.285714286,0.24999375,,MA_interior
MA,1.6550570963022306,0.8011411625829976,0.4560044266004283,8.340099375098848e-07,9.045231674285258e-07,7.620774358539889e-07,[3.44 2.26 4.93],2020-04-08,,-51.59,0.2,0.25,0.285714286,0.24999375,,MA_state
MG,1.790863608947063,0.48318831122236405,0.5450287912545015,2.9308177617684257e-06,3.3642674942716657e-06,2.7400108090082227e-06,[4.17 2.97 5.3 ],2020-03-25,,-73.02,0.2,0.25,0.285714286,0.24999375,,MG_capital
MG,1.5042447080367827,0.8014829830464555,0.37170717931037295,3.4396624697876644e-07,3.481207190288261e-07,3.16468590669617e-07,[2.77 1.59 4.48],2020-03-25,,-46.72,0.2,0.25,0.285714286,0.24999375,,MG_interior
MG,1.631443968606105,0.6725967425020601,0.45051568490558025,3.087862076828086e-07,3.8078895960263863e-07,2.997266007341062e-07,[3.36 2.1  4.89],2020-03-22,,-58.77,0.2,0.25,0.285714286,0.24999375,,MG_state
MS,1.2627724492857937,0.9443654654594218,0.09912973282719108,6.183154601835907e-06,9.82939246427022e-06,8.966733397110927e-06,[1.36 0.72 2.56],2020-04-11,,-25.21,0.2,0.25,0.285714286,0.24999375,,MS_capital
MS,1.084976947745558,1.2206774897120312,0.18277408800172967,4.050930880186124e-06,6.279803912231001e-06,4.415669960568163e-06,[1.42 0.61 2.92],2020-04-14,,12.51,0.2,0.25,0.285714286,0.24999375,,MS_interior
MS,1.3438971592879918,1.1226415502240565,0.1424790775211916,2.583413774411653e-06,4.004843086019937e-06,3.2901345717333304e-06,[1.61 0.82 2.98],2020-04-08,,-16.46,0.2,0.25,0.285714286,0.24999375,,MS_state
MT,0.8486070519912545,0.37722541469460225,0.4874477034952902,2.0508240025495296e-05,2.0562366659758467e-05,2.465181786442382e-05,[1.84 0.77 3.64],2020-04-10,2020-04-28,-55.54769267949828,0.2,0.25,0.28571428,0.24999375,0.9022681866506755,MT_capital
MT,0.8522545646128887,0.5784791684974644,0.5067680663330151,5.974160251801026e-06,5.7916670038748874e-06,5.551645406987287e-06,[1.89 0.71 4.23],2020-04-08,2020-04-24,-32.12366439360506,0.2,0.25,0.28571428,0.24999375,0.8788341889047996,MT_interior
MT,0.9178248687282394,0.466701209205577,0.5342664643678786,5.376428588097905e-06,5.102853499635016e-06,4.7886478750474435e-06,[2.11 0.85 4.36],2020-04-07,2020-04-26,-49.15138768769149,0.2,0.25,0.28571428,0.24999375,0.816795805021784,MT_state
PA,1.5154550934914446,0.9077019411464101,0.3797890501551122,3.2920402420664087e-06,2.7157022692248747e-06,3.140680037120811e-06,[2.82 1.65 4.68],2020-04-10,,-40.1,0.2,0.25,0.285714286,0.24999375,,PA_capital
PA,1.521742907565168,1.0660863023472,0.40296435735688185,7.121947718231574e-07,7.260751745630272e-07,7.31704550915855e-07,[2.93 1.74 4.96],2020-04-08,,-29.94,0.2,0.25,0.285714286,0.24999375,,PA_interior
PA,1.529062619778618,0.957084230294715,0.41082935733746223,6.702513786856233e-07,6.614281166173534e-07,5.677715125875684e-07,[2.98 1.83 4.62],2020-04-08,,-37.41,0.2,0.25,0.285714286,0.24999375,,PA_state
PB,1.3598612053219454,0.9010612530525255,0.32918622289045474,5.154351480079851e-06,3.118863204782035e-06,5.401243119716947e-06,[2.34 1.17 4.53],2020-04-16,,-33.74,0.2,0.25,0.285714286,0.24999375,,PB_capital
PB,1.2370647527663399,1.1922857320551623,0.36685197952323106,1.3607427846992184e-06,7.875340103641867e-07,1.4153075032734227e-06,[2.26 1.2  4.04],2020-04-12,,-3.62,0.2,0.25,0.285714286,0.24999375,,PB_interior
PB,1.3398165271005147,1.0550786981283158,0.34953286155066915,1.1785641629096188e-06,9.131027827006879e-07,1.2350443046620302e-06,[2.38 1.23 4.33],2020-04-15,,-21.25,0.2,0.25,0.285714286,0.24999375,,PB_state
