Infec_mean,Infec_lb,Infec_ub,date,state,cases,deaths,population
0,0,0,2020-03-06,BA,1,0,614872
0.45543513099579,0.197204904853794,0.674710207133054,2020-03-07,BA,2,0,614872
1.25146139192483,0.602829899864053,1.73128524080553,2020-03-08,BA,2,0,614872
2.31270413138841,1.21350982403066,3.16838983910043,2020-03-09,BA,2,0,614872
3.61559452704193,2.04166279261302,4.91574793523133,2020-03-10,BA,2,0,614872
5.16668420879849,3.08238251077388,6.98007852174958,2020-03-11,BA,3,0,614872
6.98689779994159,4.29024493491215,9.38127249859541,2020-03-12,BA,3,0,614872
9.10960829742294,5.66049504146955,12.1476222650312,2020-03-13,BA,7,0,3487219
11.5823416607427,7.35342115453715,15.3177926118336,2020-03-14,BA,7,0,3487219
14.4551772150854,9.55729646635387,18.9680460386486,2020-03-15,BA,9,0,3487219
17.7869756965834,11.9385342093359,23.1073482922184,2020-03-16,BA,10,0,3635905
21.6556831863368,14.7957649560368,27.8972588914719,2020-03-17,BA,14,0,3664079
26.1563112352393,18.2606391745142,33.5555252221632,2020-03-18,BA,27,0,3664079
31.3753301552761,21.8176322903473,40.048554508895,2020-03-19,BA,31,0,4075742
37.4206971671256,26.7513350641829,47.7448863291953,2020-03-20,BA,34,0,4374874
44.4507493777038,32.0933088408395,56.464992889647,2020-03-21,BA,41,0,4374874
52.6181720410564,37.9093750834399,66.070273331099,2020-03-22,BA,55,0,4563466
62.1163178763883,44.0380536005493,77.6072926984732,2020-03-23,BA,63,0,5003334
73.153662427298,51.4939514245404,91.4476194666856,2020-03-24,BA,79,0,5189658
85.9721350850504,60.1485281566486,106.910618565043,2020-03-25,BA,91,0,5387219
100.81236524395,70.0784786909121,123.981677842316,2020-03-26,BA,108,0,5538815
117.837243357425,83.1613501326069,143.941252476456,2020-03-27,BA,123,0,5584688
137.289535641757,100.006087541204,166.551881794669,2020-03-28,BA,127,0,5599267
159.290082451225,119.437751825124,192.794681054324,2020-03-29,BA,156,1,5723654
183.791057623771,141.972934765788,221.482977169663,2020-03-30,BA,176,2,5831690
210.712744631942,168.189070333009,252.152999871395,2020-03-31,BA,217,2,6087220
240.043540135388,198.971804103634,284.653571685401,2020-04-01,BA,246,2,6431414
271.725533386993,230.057356264112,318.000329082262,2020-04-02,BA,267,3,6482520
305.672348549441,265.670506575602,351.802387864989,2020-04-03,BA,290,6,6501698
341.917928404116,301.455271127916,388.738704552953,2020-04-04,BA,336,7,6815654
380.495167920306,339.372355655498,424.84215805256,2020-04-05,BA,401,9,6918848
421.4657846401,379.536144036778,462.267091625687,2020-04-06,BA,437,10,7088386
465.014918615987,422.104778862683,503.239151861376,2020-04-07,BA,462,14,7088386
511.359313624598,467.340056943149,546.730016615638,2020-04-08,BA,515,18,7396320
560.737701869729,515.575170516422,597.080744367622,2020-04-09,BA,568,19,7474813
613.382516958531,567.041700547236,648.453650354752,2020-04-10,BA,616,19,7607713
669.527929910347,619.94986864829,707.196728603575,2020-04-11,BA,640,21,7769117
729.414577332004,674.718325627572,767.289999211183,2020-04-12,BA,674,21,7800589
793.308302607801,735.22721661425,834.945664609336,2020-04-13,BA,723,22,7849188
861.46459468076,802.094184628339,906.800690207571,2020-04-14,BA,776,26,7958372
934.187105710948,873.612875213843,981.451305188308,2020-04-15,BA,884,28,8215873
1011.7577931073,947.113528370214,1062.21152856127,2020-04-16,BA,967,34,8298470
1094.52442883594,1027.51258133388,1149.5973853025,2020-04-17,BA,1064,36,8395032
1182.80064938222,1113.31667455215,1240.50699343075,2020-04-18,BA,1200,40,8537023
1276.99889889045,1204.99181139023,1339.58153839067,2020-04-19,BA,1249,45,8596421
1377.4833548503,1302.31861443404,1444.75552732937,2020-04-20,BA,1377,47,8776705
1484.677884489,1406.33467509392,1556.01263520717,2020-04-21,BA,1504,48,8916806
1599.04499465685,1516.87413602347,1674.64251551787,2020-04-22,BA,1645,53,9009264
1721.05821618546,1635.25174578172,1801.06289747982,2020-04-23,BA,1845,62,9061571
1851.2251409439,1761.82795603303,1935.77494852927,2020-04-24,BA,1979,67,9186760
1990.0868672261,1897.08192624399,2077.98026083487,2020-04-25,BA,2116,72,9333777
