,beta_0,beta_1,delta,ia0,is0,e0,r0,t1,t2,cv,p,kappa,gammaA,gammaS,beta_2,Source
AC,1.5909330639372599,1.4906405588106166,0.5086370246772408,2.3199508279552374e-05,2.2873178315298267e-05,2.436123820310502e-05,[1.92 0.92 3.54],2020-04-25,,-6.3,0.2,0.25,0.285714286,0.24999375,,AC_capital
AC,1.1026018424390225,1.8288078248401822,0.4713012989365781,2.0886246632415723e-05,2.0676642158391515e-05,2.102847762904281e-05,[1.37 0.81 2.34],2020-04-24,,65.86,0.2,0.25,0.285714286,0.24999375,,AC_interior
AC,1.5942187021461915,1.618344848537064,0.46503992412610373,1.1024439480366209e-05,1.11729271999448e-05,1.1306985782813502e-05,[1.84 0.98 3.35],2020-04-25,,1.51,0.2,0.25,0.285714286,0.24999375,,AC_state
AL,0.7311981447910368,1.4996760960533864,0.8898741856424095,3.410143606248624e-05,3.4137218730976e-05,3.026735001276624e-05,[1.18 0.2  2.41],2020-04-14,2020-04-29,105.09845473992095,0.2,0.25,0.28571428,0.24999375,0.6075506543002791,AL_capital
AL,0.8013890670981755,1.4989457364018026,0.9321152254994597,1.863568140542625e-05,1.8621475065921507e-05,1.5852334129417754e-05,[0.98 0.08 2.73],2020-04-19,2020-04-30,87.04344717722132,0.2,0.25,0.28571428,0.24999375,1.1369758015373028,AL_interior
AL,0.8339624402791844,1.49981547393819,0.8824776668470027,1.0281682746019932e-05,1.1240988697254254e-05,9.872911736576136e-06,[1.26 0.15 2.73],2020-04-14,2020-04-30,79.8420889837795,0.2,0.25,0.28571428,0.24999375,0.7921091232757472,AL_state
AM,1.893567766703607,0.9569128263413607,0.6161663714230334,4.400786419389103e-06,4.486384104045052e-06,4.5090120507963395e-06,[3.19 1.94 4.78],2020-04-08,,-49.47,0.2,0.25,0.285714286,0.24999375,,AM_capital
AM,1.9345488641371213,1.1714435004345718,0.6252143057817094,4.955451175179493e-06,4.937768669650675e-06,5.154861348777492e-06,[3.26 2.03 4.93],2020-04-11,,-39.45,0.2,0.25,0.285714286,0.24999375,,AM_interior
AM,1.8970225706724164,1.0314810790663933,0.5933514798138262,2.376972110452019e-06,2.3522049100680023e-06,2.404686452183106e-06,[3.23 2.05 4.67],2020-04-10,,-45.63,0.2,0.25,0.285714286,0.24999375,,AM_state
AP,1.9594353015665085,1.0492971028322147,0.6220954169265686,1.9506293320447235e-05,1.8700578256124276e-05,1.914272740698271e-05,[3.34 1.97 4.98],2020-04-03,,-46.45,0.2,0.25,0.285714286,0.24999375,,AP_capital
AP,1.9227480895784022,1.3052711182758767,0.641995311033567,2.8697051784049474e-05,2.9118255981607965e-05,2.86836113142642e-05,[3.09 1.51 4.99],2020-05-01,,-32.11,0.2,0.25,0.285714286,0.24999375,,AP_interior
AP,1.972652023857616,1.076038354071016,0.6246065397019713,1.126733846258185e-05,1.1357025386103443e-05,1.1620978743693863e-05,[3.48 2.11 5.03],2020-04-03,,-45.45,0.2,0.25,0.285714286,0.24999375,,AP_state
BA,1.8959917778914877,1.092667844445159,0.5299381225032666,3.45964221752505e-06,3.4275659497291137e-06,3.4415171041730397e-06,[2.81 1.7  4.33],2020-04-05,,-42.37,0.2,0.25,0.285714286,0.24999375,,BA_capital
BA,1.649256787647999,1.4704540229952168,0.5071544181312152,1.020513605498327e-06,1.0183541122125075e-06,1.0409440036203514e-06,[1.98 1.04 3.66],2020-04-03,,-10.84,0.2,0.25,0.285714286,0.24999375,,BA_interior
