state,type,beta0,beta1,beta2,tcut0,tcut1,delta,R0,date_first_case,date_com_trans
AC,Capital,1.41 (1.24 - 1.86),0.95 (0.85 - 1.23),-,May/05 (May/03 - May/07),-,0.22 (0.18 - 0.42),2 (1.62 - 3.68),-,-
AC,State,1.08 (0.9 - 1.49),1.57 (1.31 - 1.98),-,May/17 (May/16 - May/20),-,0.32 (0.22 - 0.56),1.83 (1.27 - 3.53),Mar/17,Apr/11
AC,Inland cities,0.83 (0.76 - 1.02),1.91 (1.75 - 1.99),-,May/18 (May/17 - May/19),-,0.55 (0.47 - 0.69),1.94 (1.61 - 2.79),-,-
AL,Capital,1.4 (1.17 - 1.87),0.81 (0.68 - 1.17),-,Apr/29 (Apr/28 - May/02),-,0.27 (0.19 - 0.47),2.18 (1.56 - 3.96),-,-
AL,State,1.38 (1.19 - 1.77),0.94 (0.82 - 1.25),-,Apr/28 (Apr/26 - Apr/30),-,0.29 (0.23 - 0.57),2.22 (1.72 - 4.24),Mar/08,Mar/28
AL,Inland cities,1.08 (0.91 - 1.44),1.48 (1.24 - 1.95),-,May/19 (May/05 - May/20),-,0.37 (0.3 - 0.62),1.98 (1.49 - 3.65),-,-
AM,Capital,1.6 (1.48 - 1.92),0.77 (0.69 - 0.92),-,Apr/06 (Apr/05 - Apr/08),-,0.38 (0.33 - 0.61),2.98 (2.55 - 4.82),-,-
AM,State,1.62 (1.48 - 1.92),0.81 (0.73 - 1.02),-,Apr/06 (Apr/04 - Apr/08),-,0.42 (0.36 - 0.6),3.2 (2.68 - 4.76),Mar/13,Mar/28
AM,Inland cities,1.55 (1.36 - 1.93),0.98 (0.86 - 1.23),-,Apr/29 (Apr/28 - May/02),-,0.3 (0.24 - 0.54),2.54 (2 - 4.46),-,-
AP,Capital,1.76 (1.49 - 1.99),0.8 (0.72 - 1.12),-,Apr/10 (Apr/09 - May/04),-,0.34 (0.26 - 0.53),3.08 (2.28 - 4.55),-,-
AP,State,1.77 (1.55 - 1.99),0.84 (0.77 - 1.06),-,Apr/09 (Apr/08 - Apr/11),-,0.4 (0.34 - 0.62),3.4 (2.72 - 5.05),Mar/20,Mar/20
AP,Inland cities,1.12 (0.98 - 1.71),1.82 (1.67 - 1.98),-,May/18 (May/16 - May/19),-,0.39 (0.3 - 0.59),2.12 (1.61 - 4.19),-,-
BA,Capital,1.53 (1.4 - 1.87),0.89 (0.76 - 1.18),-,Apr/01 (Mar/28 - Apr/18),-,0.32 (0.24 - 0.51),2.59 (2.06 - 4.17),-,-
BA,State,1.53 (1.32 - 1.95),0.91 (0.82 - 1.2),-,Mar/30 (Mar/27 - Apr/04),-,0.33 (0.27 - 0.51),2.64 (2.05 - 4.34),Mar/06,Mar/26
BA,Inland cities,1.38 (1.19 - 1.76),0.88 (0.8 - 1.1),1.38 (1.21 - 1.73),Apr/03 (Mar/30 - Apr/08),May/10 (May/09 - May/12),0.3 (0.25 - 0.51),2.26 (1.78 - 3.92),-,-
