date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-03-17,AC,3,409762,0,0,0,0,NA
2020-03-18,AC,0,409762,0.3646963041916649,0.5019242761494953,0.18307615288184048,0.3646963041916649,NA
2020-03-19,AC,1,409762,0.4407980356330475,0.5728633407599222,0.2970008786264463,0.4407980356330475,NA
2020-03-20,AC,3,409762,0.4961505086291683,0.6880076623279359,0.3547916148016859,0.4961505086291683,NA
2020-03-21,AC,4,409762,0.5652777901899757,0.8172078002745318,0.406897556969144,0.5652777901899757,NA
2020-03-22,AC,0,409762,0.6294780622495452,0.925218343422435,0.4583658127804228,0.6294780622495452,NA
2020-03-23,AC,6,409762,0.7003675566608621,1.0325329392700564,0.5133598364359828,0.7003675566608621,NA
2020-03-24,AC,4,409762,0.7780731390791336,1.1446034866771748,0.5779715200007449,0.7780731390791336,NA
2020-03-25,AC,2,409762,0.8658700398481078,1.2649256825717994,0.6494806763521287,0.8658700398481078,NA
2020-03-26,AC,0,409762,0.9639720407570782,1.395214093467838,0.7289974030345603,0.9639720407570782,NA
2020-03-27,AC,2,409762,1.0736621752773878,1.5371237283181438,0.8174796801313342,1.0736621752773878,NA
2020-03-28,AC,0,409762,1.195434892590156,1.6923060417105251,0.9167115982974838,1.195434892590156,NA
2020-03-29,AC,6,409762,1.3301391381182006,1.8626546534575599,1.02732299419845,1.3301391381182006,NA
2020-03-30,AC,3,409762,1.4797382234230705,2.0504068183754844,1.1510466552676313,1.4797382234230705,NA
2020-03-31,AC,0,409762,1.6463744398986555,2.256939300260245,1.2895270969044557,1.6463744398986555,NA
2020-04-01,AC,0,409762,1.8266407821212016,2.4837271984594067,1.4449740484277749,1.8266407821212016,NA
2020-04-02,AC,2,409762,2.0273145813103413,2.7333584613398987,1.6185811126272671,2.0273145813103413,NA
2020-04-03,AC,0,409762,2.256790684082283,3.0077731612205145,1.8132117057630042,2.256790684082283,NA
2020-04-04,AC,0,409762,2.5061427055409125,3.3095587948067826,2.032698320507277,2.5061427055409125,NA
2020-04-05,AC,2,409762,2.7865783433018034,3.641638624600936,2.2843250994587363,2.7865783433018034,NA
2020-04-06,AC,1,409762,3.0988933058139807,4.007081324718117,2.5676767657739807,3.0988933058139807,NA
2020-04-07,AC,0,409762,3.455086205259521,4.409098934492056,2.8815302824838334,3.455086205259521,NA
2020-04-08,AC,6,409762,3.8568554706745264,4.8551267957064494,3.2263829582663397,3.8568554706745264,NA
2020-04-09,AC,3,409762,4.306271913895683,5.3478061883833234,3.6138459520577886,4.306271913895683,NA
2020-04-10,AC,7,409762,4.794461249778492,5.890300525263424,4.046937835942291,4.794461249778492,NA
2020-04-11,AC,2,409762,5.333759555101765,6.487896379794472,4.53154057963584,5.333759555101765,NA
2020-04-12,AC,3,409762,5.933912447145977,7.1411380662062,5.073872536730881,5.933912447145977,NA
2020-04-13,AC,8,409762,6.591764905673808,7.855133330637265,5.6805586787680324,6.591764905673808,NA
2020-04-14,AC,6,409762,7.327506232875518,8.640542317993889,6.360516094810616,7.327506232875518,NA
2020-04-15,AC,2,409762,8.148996381206175,9.503815246314096,7.121840538999826,8.148996381206175,NA
2020-04-16,AC,10,409762,9.062116057060482,10.454986566091854,7.974253434761024,9.062116057060482,NA
2020-04-17,AC,19,409762,10.103957649243183,11.500784037309156,8.92838465153643,10.103957649243183,NA
2020-04-18,AC,7,409762,11.254322158301425,12.651062269424813,9.98183092789942,11.254322158301425,NA
2020-04-19,AC,11,409762,12.520010683554393,13.915356536641777,11.09914272254143,12.520010683554393,NA
2020-04-20,AC,13,409762,13.921563715395534,15.306347411122054,12.340952981149659,13.921563715395534,NA
2020-04-21,AC,18,409762,15.47674149481503,16.92315137886662,13.721888898497728,15.47674149481503,NA
2020-04-22,AC,18,409762,17.201589342824718,18.68931071187697,15.250305405286449,17.201589342824718,NA
2020-04-23,AC,13,409762,19.102359870708334,20.615959725656914,17.021485575057334,19.102359870708334,NA
2020-04-24,AC,6,409762,21.239707753150874,22.97219922932371,18.886175644952594,21.239707753150874,NA
2020-04-25,AC,24,409762,23.616498975748748,25.68683776712543,20.93840586981718,23.616498975748748,NA
2020-04-26,AC,20,409762,26.262351241608076,28.695019632259932,23.23330592794311,26.262351241608076,NA
2020-04-27,AC,21,409762,29.107878543103837,32.141007201702465,25.96885336481749,29.107878543103837,NA
2020-04-28,AC,16,409762,32.33949041217113,35.986768601767004,29.02346836495213,32.33949041217113,NA
2020-04-29,AC,28,409762,35.96295057479888,40.28210245895347,32.25915546351448,35.96295057479888,NA
2020-04-30,AC,44,409762,39.98861379289049,45.083503895771464,35.83731705933813,39.98861379289049,NA
2020-05-01,AC,64,409762,44.305797224443054,50.18136413446979,39.80248673091923,44.305797224443054,NA
2020-05-02,AC,66,409762,49.1026003987365,56.0733113799206,44.022676986127955,49.10908097808533,NA
2020-05-03,AC,93,409762,53.72188791086508,62.02289039549729,48.57162202283287,54.51179576908586,NA
2020-05-04,AC,68,409762,59.17200466986667,66.97602670164156,52.692729315088606,60.53194768462202,NA
2020-05-05,AC,61,409762,63.79294189861232,71.53360522150959,55.23007965417521,67.2433226953504,NA
2020-05-06,AC,112,409762,66.43369224045429,76.81136881081696,57.819787951377656,74.5241881885164,NA
2020-05-07,AC,67,409762,68.056145401802,78.48917345826597,60.524302763917206,82.64337040252205,NA
2020-05-08,AC,119,409762,69.9193335345353,79.29153940641086,63.54799319798644,91.5174565813775,NA
2020-05-09,AC,130,409762,72.04347666933388,79.35965484910017,66.60506475858857,101.52713605983269,NA
2020-05-10,AC,68,409762,74.53028503542755,80.55205657519136,69.81558567882047,112.48901585695499,NA
2020-05-11,AC,0,409762,77.05865109658345,82.36040665029901,72.89496400996767,124.50752633338541,NA
2020-05-12,AC,71,409762,80.10835965340776,84.6935391165527,76.18753616626385,137.8940612811341,NA
2020-05-13,AC,44,409762,82.96966285564099,87.44121332560391,79.27349845128937,152.80840363306322,NA
2020-05-14,AC,4,409762,85.95905920146618,90.44742343627186,82.36360220589756,169.6921292497463,NA
2020-05-15,AC,6,409762,89.0329995518182,94.03204606193106,85.43588263576578,188.3008179554517,NA
2020-05-16,AC,6,409762,92.35274082609098,98.82851935471209,88.13962139725895,208.6865736274924,NA
2020-05-17,AC,114,409762,95.9371941742602,104.01754582837091,91.18523430808705,230.8624612781808,NA
2020-05-18,AC,207,409762,99.15293619505077,109.18597187948086,94.1147872299974,255.184046289166,NA
2020-05-19,AC,157,409762,102.86301249609389,114.59679043750135,96.4313185532,281.81078955872806,NA
2020-05-20,AC,0,409762,106.78031668477007,120.24284528343979,98.88225862228079,310.9029371952735,NA
2020-05-21,AC,305,409762,110.58130762871856,125.90957461713323,101.4768442132009,342.6179351118228,NA
2020-05-22,AC,68,409762,114.72947834201958,131.57657824994786,104.09451531448202,377.91870724179887,NA
2020-05-23,AC,422,409762,118.86671889458471,137.45591915459522,106.75663041568251,415.2943829021997,NA
2020-05-24,AC,245,409762,122.81861790496605,143.5511883806294,109.39382865934523,455.61491502911065,NA
2020-05-25,AC,294,409762,126.95265947894924,149.86563644186845,112.02575019400835,499.577750802053,NA
2020-05-26,AC,219,409762,131.3187315393191,156.69894995507926,114.69507421504036,545.6485047655636,NA
2020-05-27,AC,265,409762,135.97551694811,163.83799061002196,117.40058623503396,595.4568529197375,NA
