date,state,cases,population,Infec,Infec_ub,Infec_lb,Infec_1,Infec_2
2020-03-29,AC,3,484708,0,0,0,0,NA
2020-03-30,AC,4,484708,0.3045022434815285,0.5458379737883934,0.13731919512909235,0.3045022434815285,NA
2020-03-31,AC,1,484708,0.36576742550917385,0.7123293399656703,0.21658381546001912,0.36576742550917385,NA
2020-04-01,AC,1,484708,0.4163447030141716,0.8133275061448504,0.2548159475645792,0.4163447030141716,NA
2020-04-02,AC,0,484708,0.4679188557993715,0.8962285518194817,0.2880377098029646,0.4679188557993715,NA
2020-04-03,AC,1,484708,0.5262411372637146,0.9698595594152059,0.32442627803734514,0.5262411372637146,NA
2020-04-04,AC,0,484708,0.5844273557222786,1.0403683661324197,0.3652039632839431,0.5844273557222786,NA
2020-04-05,AC,0,484708,0.6486267614061723,1.1113595245900292,0.4112311832295027,0.6486267614061723,NA
2020-04-06,AC,1,484708,0.7191506677130214,1.1705939305260968,0.4624586019801994,0.7191506677130214,NA
2020-04-07,AC,0,484708,0.7967810761456908,1.2386703600691509,0.5202380919205312,0.7967810761456908,NA
2020-04-08,AC,2,484708,0.8840585050905272,1.3594394610190608,0.5852603287528629,0.8840585050905272,NA
2020-04-09,AC,1,484708,0.9793246086595488,1.482666786479071,0.659171567167627,0.9793246086595488,NA
2020-04-10,AC,1,484708,1.0876575077450985,1.5914686433417964,0.7391151767861209,1.0876575077450985,NA
2020-04-11,AC,0,484708,1.2111918843443696,1.7439769857380398,0.8330668610400461,1.2111918843443696,NA
2020-04-12,AC,2,484708,1.3496360681942243,1.9176775987712835,0.9369361169215126,1.3496360681942243,NA
2020-04-13,AC,5,484708,1.4889027341391596,2.1084061300161467,1.0537299335383763,1.4889027341391596,NA
2020-04-14,AC,3,484708,1.6539014338291618,2.3178778129950794,1.184796982953254,1.6539014338291618,NA
2020-04-15,AC,0,484708,1.8387492699534915,2.5482219999810094,1.333025113426323,1.8387492699534915,NA
2020-04-16,AC,4,484708,2.0421499799509384,2.8016556150795715,1.4990003407703183,2.0421499799509384,NA
2020-04-17,AC,1,484708,2.269484090281773,3.079913004739237,1.6501595866619951,2.269484090281773,NA
2020-04-18,AC,0,484708,2.524990440884748,3.3859065270465334,1.7164598952293977,2.524990440884748,NA
2020-04-19,AC,10,484708,2.812258141241144,3.7223244578925314,1.8319518477182013,2.812258141241144,NA
2020-04-20,AC,0,484708,3.1331273809085944,4.097361970163561,1.9650064604576325,3.1331273809085944,NA
2020-04-21,AC,1,484708,3.4807938776768834,4.518985524432434,2.1517312376532347,3.4807938776768834,NA
2020-04-22,AC,1,484708,3.8680229700113022,4.9832333065075165,2.3552050308586505,3.8680229700113022,NA
2020-04-23,AC,0,484708,4.286671373486302,5.495195705093911,2.520706339291701,4.286671373486302,NA
2020-04-24,AC,1,484708,4.762171143025505,6.059639620386803,2.6378031091068594,4.762171143025505,NA
2020-04-25,AC,0,484708,5.303686346967397,6.681593335041095,2.789283465447024,5.303686346967397,NA
2020-04-26,AC,1,484708,5.885448955643038,7.367650792501206,3.2005000939025754,5.885448955643038,NA
2020-04-27,AC,1,484708,6.547183758584971,8.105075467061019,3.9000750728119313,6.547183758584971,NA
