date,state,population,Rtdata,Rtmod,Rtmod_ub,Rtmod_lb
2020-04-11,AC,894470,2.3260604213154688,1.7716176959590793,2.0281395407701,1.7394352196877667
2020-04-12,AC,894470,1.952460716789309,1.7700920470572747,2.027049250346649,1.7379531065387983
2020-04-13,AC,894470,2.013255056341749,1.768918580391054,2.0263301542520544,1.7368156213580668
2020-04-14,AC,894470,2.52674460349592,1.7680172478431155,2.0258319638743254,1.7359647822465234
2020-04-15,AC,894470,2.2858804631032688,1.7673149072646963,2.025465115499574,1.735329491035793
2020-04-16,AC,894470,2.252680331875704,1.7667134530818809,2.0251828215539667,1.7348408340135086
2020-04-17,AC,894470,2.088845089493008,1.7659603204962253,2.024871508907717,1.734375439361331
2020-04-18,AC,894470,2.2605341085228443,1.7662393842413024,2.0245509779384934,1.7340346158244384
2020-04-19,AC,894470,2.1020711487999493,1.7655171833159455,2.024306001660225,1.7331728775435706
2020-04-20,AC,894470,1.7341283752461152,1.7651711800960743,2.0239942867666487,1.7338058334856936
2020-04-21,AC,894470,1.5700206956393072,1.7648764107682628,2.0237402033940546,1.7330375297288598
2020-04-22,AC,894470,1.4934799142182142,1.7645752342671377,2.023418304924017,1.7326359286942905
2020-04-23,AC,894470,1.5102903816312137,1.7643268056442718,2.0230204444449225,1.7323474975660913
2020-04-24,AC,894470,1.4578037221361482,1.7640108832483024,2.0226702838226007,1.7320482447044299
2020-04-25,AC,894470,1.3359165098731176,1.763658969873405,2.0222911464753706,1.7317528943475389
2020-04-26,AC,894470,1.5673151184196077,1.763362624761874,2.021909748928754,1.7314187661661211
2020-04-27,AC,894470,1.983026177291629,1.7628952144241188,2.021430224459323,1.7310606210603234
2020-04-28,AC,894470,2.465887967448868,1.7624576614556466,2.02092969876182,1.7306929355295235
2020-04-29,AC,894470,2.6308931914411424,1.7619967547768738,2.020383762266125,1.730244803317584
2020-04-30,AC,894470,2.9840969355594487,1.7615273960502889,2.0196883495539164,1.729776432670294
2020-05-01,AC,894470,2.947841299078904,1.7610421455566785,2.018933302286164,1.7292820893721688
2020-05-02,AC,894470,2.7541194638150377,1.7605222065783106,2.0016087159515465,1.7287619620910877
2020-05-03,AC,894470,2.7030308459418704,1.7599159036395935,2.000728734609672,1.7282309796939548
2020-05-04,AC,894470,2.2371512164702474,1.7592769667708876,1.99978196575968,1.7276453979386397
2020-05-05,AC,894470,2.2931696833976063,1.7584791222654998,1.9139924923271967,1.7269890299047557
2020-05-06,AC,894470,2.1697901659111194,1.7577284157699342,1.8223282961447111,1.7262857655627537
2020-05-07,AC,894470,2.013691113675048,1.7568850155887854,1.8031603981504678,1.7199277784858884
2020-05-08,AC,894470,1.6138960245987126,1.7544761694068454,1.8022449134927645,1.7141899091327266
2020-05-09,AC,894470,1.4803924060671958,1.753526584701182,1.801267253117567,1.6898733479088848
2020-05-10,AC,894470,1.4444326612246297,1.7525000278002385,1.8001978498738318,1.6668777042125809
2020-05-11,AC,894470,1.122548185361927,1.751400217450871,1.7990179234374954,1.6552127589668235
2020-05-12,AC,894470,0.8606428681221383,1.7501929519511372,1.7977483573980944,1.6464255509198766
2020-05-13,AC,894470,0.7900563469765487,1.7495131734249294,1.7963687388827356,1.6382714494372108
2020-05-14,AC,894470,1.0096856709457704,1.7487513897501223,1.8027367473462488,1.6312916907177786
2020-05-15,AC,894470,1.213889765239733,1.7505028305716244,1.8347434950929216,1.6257428048141398
2020-05-16,AC,894470,1.4699775999353166,1.7654814401402643,1.9490529093734688,1.6211866929537848
2020-05-17,AC,894470,1.343545324810166,1.7828338939184611,2.0555808678641623,1.617311289943559
2020-05-18,AC,894470,2.3058621077282324,1.9349911940411224,2.172275047471328,1.6138954828861682
